,Unnamed: 0,product_name,max_capacity,link,type,format,interface,released,released_normalized,max_capacity_GB,controller,dram,Interface,Type,Technology,Read Time (tR),Program Time (tProg),Die Read Speed,Die Write Speed,Sequential Read,Sequential Write,Random Read,Random Write
12,12,Samsung 983 DCT ,960 GB,https://www.techpowerup.com/ssd-specs/samsung-983-dct-960-gb.d1876,TLC,M.2 22110,PCIe 3.0 x4,18-Sep,9/1/2018,960,Samsung Phoenix,1536 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
13,13,Samsung 983 ZET ,960 GB,https://www.techpowerup.com/ssd-specs/samsung-983-zet-960-gb.d1253,SLC,Add-In Card,PCIe 3.0 x4,18-Sep,9/1/2018,960,Samsung Phoenix,1536 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
14,14,Kingston DC500M ,3.8 TB,https://www.techpowerup.com/ssd-specs/kingston-dc500m-960-gb.d314,TLC,"2.5""",SATA 6 Gbps,19-Mar,3/1/2019,3800,Phison E12,1024 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
15,15,Kingston DC500R ,7.5 TB,https://www.techpowerup.com/ssd-specs/kingston-dc500r-960-gb.d309,TLC,"2.5""",SATA 6 Gbps,19-May,5/1/2019,7500,Phison S12,1024 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
16,16,Toshiba Ethernet SSD ,8 TB,https://www.techpowerup.com/ssd-specs/toshiba-ethernet-ssd-8-tb.d1670,TLC,U.2,PCIe 3.0 x4,2019,7/2/2019,8000,88SS5000,12288 MB,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound
17,17,Kioxia CD6-R ,15 TB,https://www.techpowerup.com/ssd-specs/kioxia-cd6-r-960-gb.d760,TLC,U.2,PCIe 4.0 x4,20-Feb,2/1/2020,15000,88SS1132,Unknown,PCIe 4.0 x4,TLC,96-layer,58 µs,561 µs,551 MB/s,57 MB/s,"5,800 MB/s","1,300 MB/s","700,000 IOPS","30,000 IOPS"
18,18,Western Digital Gold DC SN600 ,7.5 TB,https://www.techpowerup.com/ssd-specs/western-digital-gold-dc-sn600-960-gb.d1738,TLC,U.2,PCIe 3.0 x4,20-Mar,3/1/2020,7500,WD 20-82-10051-A0,Unknown,PCIe 3.0 x4,TLC,96-layer,58 µs,561 µs,551 MB/s,57 MB/s,"3,000 MB/s","1,100 MB/s","413,000 IOPS","44,000 IOPS"
19,19,DapuStor Haishen3 H3000 ,16 TB,https://www.techpowerup.com/ssd-specs/dapustor-haishen3-h3000-1-tb.d1647,TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,16000,88SS1098,Unknown,PCIe 3.0 x4,TLC,96-layer,59 µs,625 µs,551 MB/s,56 MB/s,"3,500 MB/s","1,300 MB/s","450,000 IOPS","380,000 IOPS"
20,20,DapuStor Haishen3 H3100 ,13 TB,https://www.techpowerup.com/ssd-specs/dapustor-haishen3-h3100-800-gb.d1648,TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,13000,88SS1098,Unknown,PCIe 3.0 x4,TLC,96-layer,59 µs,625 µs,551 MB/s,56 MB/s,"3,500 MB/s","1,300 MB/s","450,000 IOPS","98,000 IOPS"
21,21,DapuStor Haishen3 H3200 ,3.8 TB,https://www.techpowerup.com/ssd-specs/dapustor-haishen3-h3200-3-8-tb.d1652,TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,3800,88SS1098,5120 MB,PCIe 3.0 x4,TLC,96-layer,59 µs,625 µs,551 MB/s,56 MB/s,"3,500 MB/s","3,100 MB/s","820,000 IOPS","130,000 IOPS"
